ques,right,answears
"Phương pháp tiện chiếm khoảng bao nhiêu phần trăm trong tổng khối lượng gia công cắt gọt?","30-40%","20-30%;30-40%;40-50%;50-60%"
"Điều nào sau đây không phải là ưu điểm của phương pháp tiện?","Tạo hình bị hạn chế","Thời gian gia công ngắn;Độ chính xác gia công cao;Tiết kiệm vật liệu tốt;Tạo hình bị hạn chế"
"Chuyển động cắt gọt trong phương pháp tiện bao gồm những loại chuyển động nào?","Chuyển động quay tròn và chuyển động tịnh tiến","Chuyển động quay tròn và chuyển động lắc ngang;Chuyển động quay tròn và chuyển động tịnh tiến;Chuyển động tịnh tiến và chuyển động đứng;Chuyển động quay tròn và chuyển động đứng"
"Thiết bị và dụng cụ thường sử dụng trong phương pháp tiện là gì?","Máy tiện và dao tiện","Máy tiện và mũi khoan;Máy tiện và dao tiện;Máy phay và dao tiện;Máy tiện và cưa vòng"
"Hình thức gia công nào sau đây không thuộc các dạng bề mặt tạo hình bằng phương pháp tiện?","Tiện mặt phẳng nghiêng","Tiện mặt đầu;Tiện mặt trụ trong;Tiện mặt phẳng nghiêng;Tiện ren ngoài"
"Loại tiện nào được thực hiện để gia công bề mặt bên trong của chi tiết?","Tiện mặt trụ trong","Tiện mặt đầu;Tiện mặt trụ ngoài;Tiện mặt trụ trong;Tiện vát mép"
"Hình thức tiện nào dùng để tạo rãnh trên chi tiết?","Tiện rãnh","Tiện mặt đầu;Tiện rãnh;Tiện ren ngoài;Tiện mặt trụ ngoài"
"Phương pháp phay chiếm khoảng bao nhiêu phần trăm trong tổng khối lượng gia công cắt gọt?","20-30%","10-20%;20-30%;30-40%;40-50%"
"Quá trình bóc tách vật liệu của phương pháp phay được thực hiện nhờ sự phối hợp của những chuyển động nào?","Chuyển động quay tròn và chuyển động tịnh tiến","Chuyển động quay tròn và chuyển động đứng;Chuyển động quay tròn và chuyển động tịnh tiến;Chuyển động tịnh tiến và chuyển động ngang;Chuyển động lắc và chuyển động đứng"
"Dao phay thường có đặc điểm gì so với dao tiện?","Dao phay có nhiều lưỡi cắt trên một dao","Dao phay chỉ có một lưỡi cắt;Dao phay có nhiều lưỡi cắt trên một dao;Dao phay dễ mài mòn hơn dao tiện;Dao phay chỉ sử dụng cho vật liệu nhựa"
"Thiết bị và dụng cụ thường sử dụng trong phương pháp phay là gì?","Máy phay và dao phay","Máy tiện và dao tiện;Máy phay và dao phay;Máy khoan và mũi khoan;Máy mài và đá mài"
"Phương pháp khoan được sử dụng để:","Gia công các lỗ trên sản phẩm","Gia công các bề mặt phẳng;Gia công các lỗ trên sản phẩm;Cắt rời các chi tiết;Hàn các mối nối"
"Dụng cụ cắt chính trong quá trình khoan là:","Mũi khoan","Dao phay;Mũi khoan;Dao tiện;Cưa"
"Chuyển động chính trong quá trình khoan là:","Kết hợp chuyển động quay và tịnh tiến của mũi khoan","Chỉ có chuyển động quay của mũi khoan;Chỉ có chuyển động tịnh tiến của mũi khoan;Kết hợp chuyển động quay và tịnh tiến của mũi khoan;Không có chuyển động nào"
"Ưu điểm của phương pháp khoan là:","Năng suất cao","Gia công được các bề mặt có độ chính xác cao;Năng suất thấp;Năng suất cao;Chỉ áp dụng cho các vật liệu mềm"
"Máy khoan được sử dụng để:","Gia công các lỗ trên sản phẩm","Gia công các bề mặt phẳng;Gia công các lỗ trên sản phẩm;Cắt rời các chi tiết;Hàn các mối nối"
"Quy trình công nghệ gia công chi tiết là gì?","Là các bước cần tuân thủ để thay đổi hình dạng, kích thước của phôi thành phẩm.","Là các bước cần tuân thủ để thay đổi hình dạng, kích thước của phôi thành phẩm.;Là quá trình tạo ra một sản phẩm hoàn chỉnh;Là việc lựa chọn vật liệu phù hợp cho sản phẩm."
"Việc lập quy trình công nghệ gia công hợp lý có ý nghĩa gì?","Tiết kiệm vật liệu, thời gian gia công và hạn chế phế phẩm.","Tiết kiệm vật liệu, thời gian gia công và hạn chế phế phẩm.;Giúp sản phẩm đẹp hơn;Giảm chi phí sản xuất."
"Các bước cơ bản để lập quy trình công nghệ gia công một chi tiết đơn giản gồm:","Nghiên cứu bản vẽ, xác định thứ tự các nguyên công, lựa chọn phôi, lựa chọn thiết bị, dụng cụ gia công, xác định chế độ cắt.","Nghiên cứu bản vẽ, xác định thứ tự các nguyên công, lựa chọn phôi, lựa chọn thiết bị, dụng cụ gia công, xác định chế độ cắt.;Chỉ có nghiên cứu bản vẽ và lựa chọn phôi;Chỉ có xác định thứ tự các nguyên công và lựa chọn thiết bị."
"Theo em, bước nào sẽ ảnh hưởng lớn tới chất lượng bề mặt gia công chi tiết?","Xác định chế độ cắt.","Nghiên cứu bản vẽ.;Lựa chọn phôi.;Xác định chế độ cắt."
"Mục tiêu của việc lập quy trình công nghệ gia công chi tiết là gì?","Xác định một chuỗi các hoạt động để tạo ra sản phẩm theo đúng yêu cầu kỹ thuật và chất lượng.","Xác định được các công cụ và máy móc cần sử dụng.;Tìm ra cách làm sao để tiết kiệm chi phí nhất.;Xác định một chuỗi các hoạt động để tạo ra sản phẩm theo đúng yêu cầu kỹ thuật và chất lượng.;Tìm ra vật liệu phù hợp nhất cho sản phẩm."
"Bước đầu tiên trong việc lập quy trình công nghệ gia công chi tiết là gì?","Nghiên cứu bản vẽ chi tiết.","Lựa chọn vật liệu.;Xác định thứ tự các công đoạn.;Nghiên cứu bản vẽ chi tiết.;Lựa chọn máy móc và dụng cụ."
"Yếu tố nào sau đây không ảnh hưởng đến việc lựa chọn vật liệu cho phôi?","Màu sắc của sản phẩm cuối cùng.","Tính chất của vật liệu.;Kích thước của phôi.;Màu sắc của sản phẩm cuối cùng.;Yêu cầu về độ bền của sản phẩm."
"Sản xuất cơ khí là gì?","Là quá trình sử dụng các loại nguyên vật liệu, máy móc và công nghệ để tạo ra các sản phẩm cơ khí.","Là quá trình tạo ra các sản phẩm bằng nhựa.;Là quá trình tạo ra các sản phẩm bằng gỗ.;Là quá trình sử dụng các loại nguyên vật liệu, máy móc và công nghệ để tạo ra các sản phẩm cơ khí.;Là quá trình lắp ráp các sản phẩm đã hoàn thiện."
"Quá trình sản xuất cơ khí thường bao gồm những bước chính nào?","Sản xuất phôi, chế tạo cơ khí và đóng gói bảo quản.","Sản xuất phôi và chế tạo cơ khí.;Chế tạo cơ khí và đóng gói bảo quản.;Sản xuất phôi, chế tạo cơ khí và đóng gói bảo quản.;Sản xuất phôi và đóng gói bảo quản."
"Sản xuất phôi là gì?","Là quá trình tạo ra hình dạng ban đầu cho sản phẩm.","Là quá trình tạo ra sản phẩm cuối cùng.;Là quá trình tạo ra hình dạng ban đầu cho sản phẩm.;Là quá trình hoàn thiện bề mặt sản phẩm.;Là quá trình lắp ráp các bộ phận."
"Chế tạo cơ khí là gì?","Là quá trình gia công, tạo hình cho phôi để tạo ra sản phẩm cuối cùng.","Là quá trình lựa chọn vật liệu.;Là quá trình kiểm tra chất lượng sản phẩm.;Là quá trình gia công, tạo hình cho phôi để tạo ra sản phẩm cuối cùng.;Là quá trình đóng gói sản phẩm."
"Vì sao quá trình sản xuất cơ khí đóng vai trò quan trọng?","Vì nó đóng vai trò quan trọng đối với sự phát triển của nền kinh tế đất nước và đời sống con người.","Vì nó giúp tạo ra các sản phẩm đẹp mắt.;Vì nó giúp tạo ra nhiều việc làm.;Vì nó đóng vai trò quan trọng đối với sự phát triển của nền kinh tế đất nước và đời sống con người.;Vì nó giúp bảo vệ môi trường."
"Nguyên liệu chính để luyện gang là gì?","Quặng sắt","Quặng đồng;Quặng nhôm;Quặng sắt;Quặng vàng"
"Trong quá trình luyện gang, chất nào đóng vai trò khử oxit sắt?","Cacbon monoxit (CO)","Than đá;Cacbon monoxit (CO);Oxy;Đá vôi"
"Nhiệt độ trong lò luyện gang thường đạt khoảng bao nhiêu độ C?","1500°C - 2000°C","500°C;1000°C;1500°C - 2000°C;3000°C"
"Sản phẩm chính thu được sau quá trình luyện gang là gì?","Gang","Thép;Gang;Sắt nguyên chất;Xi"
"Vai trò của đá vôi (CaCO3) trong quá trình luyện gang là gì?","Tạo xỉ, loại bỏ tạp chất","Khử oxit sắt;Tạo xỉ, loại bỏ tạp chất;Tạo nhiệt;Tăng độ bền của gang"
"Sau khi luyện kim, bước tiếp theo trong quá trình sản xuất sản phẩm cơ khí là gì?","Chế tạo phôi","Hoàn thiện bề mặt;Chế tạo phôi;Đóng gói sản phẩm;Lắp ráp sản phẩm"
"Các phương pháp chế tạo phôi kim loại thường dùng là gì?","Đúc, gia công áp lực, tiện, phay...","Đúc, hàn, sơn;Đúc, gia công áp lực, tiện, phay...;Hàn, cắt, mài;Sơn, mạ, đánh bóng"
"Đối với vật liệu phi kim loại, quá trình sản xuất phôi thường bao gồm các công đoạn nào?","Khai thác nguyên vật liệu, tổng hợp hóa học, tạo phôi","Khai thác, tinh chế, đúc;Khai thác nguyên vật liệu, tổng hợp hóa học, tạo phôi;Tiện, phay, khoan;Hàn, sơn, mạ"
