ques,answers,right
"Hiện tượng “Cừu ăn thịt người” là câu nói miêu tả thảm cảnh của nông dân nước nào vào cuối thế kỉ XV đầu thế kỉ XVI?","Nước Anh;Nước Pháp;Nước Đức;Nước Ý","Nước Anh"
"Từ cuối thời kì trung đại, quan hệ sản xuất tư bản chủ nghĩa đã dần được hình thành ở đâu?","Ở Tây Âu và Bắc Mỹ;Ở Đông Á;Ở Nam Mỹ;Ở Đông Nam Á","Ở Tây Âu và Bắc Mỹ"
"Trào lưu tư tưởng nào đã xuất hiện ở Pháp vào thế kỉ XVIII?","Triết học ánh sáng;Triết học tự nhiên;Chủ nghĩa duy vật;Chủ nghĩa lãng mạn","Triết học ánh sáng"
"Đặc điểm nổi bật về kinh tế của 13 thuộc địa Anh ở Bắc Mĩ giữa thế kỉ XVIII là gì?","Kinh tế phát triển theo con đường tư bản chủ nghĩa;Kinh tế phong kiến;Kinh tế tự cung tự cấp;Kinh tế dựa vào thuộc địa","Kinh tế phát triển theo con đường tư bản chủ nghĩa"
"Khi soạn thảo Tuyên ngôn Độc lập cho nhà nước Việt Nam Dân chủ Cộng hòa, Chủ tịch Hồ Chí Minh đã trích dẫn một phần nội dung trong bản tuyên ngôn nào?","Tuyên ngôn nhân quyền và dân quyền Pháp 1789;Tuyên ngôn Độc lập Hoa Kỳ 1776;Tuyên bố về quyền con người;Hiến chương Đại Tây Dương","Tuyên ngôn nhân quyền và dân quyền Pháp 1789"
"Quốc gia nào được mệnh danh là “công xưởng của thế giới”?","Nước Anh;Nước Pháp;Nước Đức;Nước Mỹ","Nước Anh"
"Từ giữa thế kỉ XIX, Mỹ đã biến khu vực nào trở thành “sân sau” của mình?","Mỹ La-tinh;Châu Á;Châu Phi;Đông Nam Á","Mỹ La-tinh"
"Quốc gia nào được gọi là “chủ nghĩa đế quốc cho vay nặng lãi”?","Pháp;Anh;Mỹ;Đức","Pháp"
"Chủ nghĩa tư bản hiện đại là thuật ngữ để chỉ chủ nghĩa tư bản sau khi...?","Chiến tranh thế giới thứ II kết thúc;Cách mạng công nghiệp bùng nổ;Chủ nghĩa đế quốc hình thành;Cách mạng tư sản thành công","Chiến tranh thế giới thứ II kết thúc"
"Nửa sau thế kỉ XIX, hầu hết các cuộc cách mạng tư sản đã...?","Dành được thắng lợi;Thất bại hoàn toàn;Chuyển thành cách mạng vô sản;Tạo tiền đề cho chủ nghĩa tư bản","Dành được thắng lợi"
"Chủ nghĩa tư bản hiện đại là sự kết hợp giữa sức mạnh kinh tế của các tổ chức độc quyền với sức mạnh nào?","Sức mạnh chính trị của nhà nước tư bản chủ nghĩa;Sức mạnh quân sự của các liên minh;Sức mạnh của tầng lớp tư sản;Sức mạnh của các đế quốc thuộc địa","Sức mạnh chính trị của nhà nước tư bản chủ nghĩa"
"Nội dung nào sau đây phản ánh đúng đặc trưng của chủ nghĩa đế quốc?","Xuất hiện những tổ chức đặc quyền, có vai trò quyết định trong sinh hoạt kinh tế;Mở rộng thuộc địa qua các cuộc chiến tranh;Hỗ trợ sự phát triển của các quốc gia kém phát triển;Đẩy mạnh kinh tế tự cung tự cấp","Xuất hiện những tổ chức đặc quyền, có vai trò quyết định trong sinh hoạt kinh tế"
"Sự kiện nào dưới đây phản ánh về thách thức của chủ nghĩa tư bản hiện đại?","Phong trào 99 chống lại 1 trong xã hội tư bản;Sự trỗi dậy của phong trào công nhân;Sự hình thành các tổ chức xã hội dân sự;Chiến tranh thế giới thứ hai","Phong trào 99 chống lại 1 trong xã hội tư bản"
"Sự xác lập của chủ nghĩa tư bản ở châu Âu và Bắc Mĩ thế kỉ XVII – XIX có điểm chung là gì?","Do giai cấp tư sản lãnh đạo;Do tầng lớp quý tộc lãnh đạo;Do các liên minh quân sự thúc đẩy;Do cách mạng công nghiệp tạo ra","Do giai cấp tư sản lãnh đạo"
"Chính quyền Xô Viết được thành lập năm 1917 do ai đứng đầu?","Lê-nin;Stalin;Trotsky;Bukharin","Lê-nin"
"Tên đầy đủ của nhà nước Liên Xô được thành lập ngày 30-12-1922 là gì?","Liên bang Cộng hòa xã hội chủ nghĩa Xô viết;Liên bang Nga Xô viết;Liên bang các quốc gia Xô viết;Cộng hòa xã hội chủ nghĩa Xô viết","Liên bang Cộng hòa xã hội chủ nghĩa Xô viết"
"Cách mạng tháng Mười Nga năm 1917 đã...?","Lật đổ được chính phủ tư sản lâm thời;Xóa bỏ chế độ quân chủ chuyên chế;Thiết lập nền dân chủ tư sản;Kích thích các phong trào cách mạng khác","Lật đổ được chính phủ tư sản lâm thời"
"Đất nước xã hội chủ nghĩa nào đã ra đời ở khu vực Mĩ Latinh vào năm 1959?","Cu-ba (Cuba);Venezuela;Chile;Argentina","Cu-ba (Cuba)"
"Năm 2010, quốc gia nào sau đây có nền kinh tế đứng thứ hai thế giới?","Trung Quốc;Nhật Bản;Mỹ;Đức","Trung Quốc"
"Điểm giống nhau cơ bản giữa cuộc cải cách mở cửa ở Trung Quốc (1978) và công cuộc đổi mới ở Việt Nam (1986) là gì?","Lấy phát triển kinh tế làm trọng tâm;Tăng cường vai trò của nhà nước;Ưu tiên phát triển nông nghiệp;Hội nhập kinh tế quốc tế","Lấy phát triển kinh tế làm trọng tâm"
"Nội dung nào sau đây phản ánh đúng và đầy đủ về công cuộc đổi mới đất nước của Đảng Cộng sản Việt Nam được xác định trong Đại hội đại biểu toàn quốc lần VI (12 - 1986)?","Đổi mới là vấn đề cấp bách và phù hợp với xu thế chung của thời đại;Đổi mới chỉ tập trung vào kinh tế;Đổi mới nhằm phát triển giáo dục;Đổi mới không ảnh hưởng đến quan hệ quốc tế","Đổi mới là vấn đề cấp bách và phù hợp với xu thế chung của thời đại"
"Chiến tranh thế giới thứ hai kết thúc, sự mở rộng của chủ nghĩa xã hội gắn liền với những quốc gia nào ở châu Á?","Việt Nam, Lào, Triều Tiên, Trung Quốc;Ấn Độ, Pakistan, Bangladesh;Thái Lan, Campuchia, Myanmar;Indonesia, Malaysia, Philippines","Việt Nam, Lào, Triều Tiên, Trung Quốc"
"Quốc gia nào sau đây nằm trong khu vực Đông Nam Á hải đảo?","Indonesia;Malaysia;Philippines;Brunei","Indonesia"
"Xiêm giữ vững được nền độc lập nhờ chính sách ngoại giao khôn khéo của vị vua nào?","Rama V;Chulalongkorn;Rama IV;Vajiravudh","Rama V"
"Vì sao Bru-nây có thể trở thành quốc gia có thu nhập đầu người vào hàng cao nhất thế giới?","Nhờ có trữ lượng dầu mỏ và khí tự nhiên lớn;Nhờ vào ngành du lịch phát triển;Nhờ sự hỗ trợ tài chính từ các quốc gia khác;Nhờ chính sách thương mại tự do","Nhờ có trữ lượng dầu mỏ và khí tự nhiên lớn"
